titulo;autores;anio;Línea prioritaria de investigación ECAP;tipo;estado;latitud;longitud;resumen
Actualización del balance hídrico del embalse Salve Faccha;John Satuquinga;2025;Manejo de embalses;Apoyo a investigacion;En curso;-0.230391;-78.154659;El avance tiene por objeto actualizar el balance hídrico del embalse Salve Faccha, dentro del Parque Nacional Cayambe-Coca. Considera la cuantificación de precipitación, aportes de entrada y salida, evaporación, transpiración y variaciones de almacenamiento, con análisis de eventos y cálculos mensuales. El producto esperado es un balance actualizado que identifique la disponibilidad y los componentes que controlan el embalse, como apoyo para la operación y la gestión del agua.
Actualización del modelo de distribución de recursos hídricos WEAP para la cuenca alta del río Guayllabamba y unidades hídricas aportantes de agua para el Distrito Metropolitano de Quito (DMQ);Alexander Bryan Rocha Villafuerte;2019;Hidrología;Apoyo a investigacion;En curso;-0.266817;-78.484937;El proyecto propone actualizar el modelo WEAP de distribución de recursos hídricos para la cuenca alta del río Guayllabamba y las unidades que abastecen al Distrito Metropolitano de Quito. Prevé recopilar y depurar información hidrometeorológica, de oferta, demanda e infraestructura, e incorporar escenarios de disponibilidad. Entregará una estructura de modelación actualizada y resultados de simulación que permitan analizar asignación, déficit y alternativas de manejo. El documento es un avance de perfil y no reporta resultados finales.
Análisis de la variabilidad espacio-temporal de la precipitación y su relación con las proyecciones de cambio climático en las zonas Antisana-Papallacta;Cristina Aguirre;2026;Cambio climático y global;Apoyo a investigacion;En curso;-0.336482;-78.152731;El trabajo busca caracterizar la variabilidad espacial y temporal de la precipitación y de los extremos climáticos en las zonas Antisana-Papallacta, y contrastarla con proyecciones de cambio climático y con el modelo SEI-WEAP. Reúne registros de 2010 a 2024 de 26 estaciones FONAG-EPMAPS, aplica control de calidad, pruebas de homogeneidad y análisis de tendencias, y compara interpolaciones Kriging e IDW. Sus productos esperados son series depuradas, mapas y diagnósticos de extremos que respalden la gestión hídrica.
Análisis de riesgo territorial en la cuenca Rumipamba mediante clasificación de cobertura y uso de suelo con UAV y SIG;Xavier Marcelo Mena Vela;2026;Análisis Socioeconómicos y Ambientales;Apoyo a investigacion;En curso;-0.168164557;-78.52537089;La investigación propone analizar el riesgo territorial de la cuenca Rumipamba mediante clasificación de cobertura y uso de suelo con imágenes UAV y SIG. Combina fotogrametría, clasificación supervisada SVM y variables topográficas, hidrológicas y ambientales, integradas mediante evaluación multicriterio AHP. El producto esperado es un mapa de riesgo y áreas prioritarias para la planificación territorial y la prevención de impactos. Aunque la fuente contiene conclusiones, se conserva el estado literal En curso del inventario.
Análisis espacial del almacenamiento de carbono orgánico en las turberas altoandinas del humedal Jatunhuayco, Área de Conservación Hídrica Antisana, Ecuador;Gabriela Raquel Núñez Caiza;2026;Cambio climático y global;Apoyo a investigacion;En curso;-0.480461;-78.229146;El trabajo propone analizar el almacenamiento espacial de carbono orgánico en las turberas altoandinas del humedal Jatunhuayco, en el Área de Conservación Hídrica Antisana. Considera muestreos georreferenciados de suelo, determinación de carbono orgánico y densidad aparente, y elaboración de mapas de variación. Se esperan una estimación de reservas y un diagnóstico de la heterogeneidad del carbono que sirva como línea base para la protección y manejo del humedal.
Caracterización y análisis de la composición de isotopos estables en ecosistemas fuentes de agua, dentro de áreas de interés hídrico, desde las que se abastece el Distrito Metropolitano de Quito, gestionadas por el FONAG;Verónica Guamán (responsable FONAG/EPMAPS);2026;Hidrología;Apoyo a investigacion;En curso;-0.401728;-78.311662;El perfil busca caracterizar la composición de isótopos estables de agua, deuterio y oxígeno-18, en ecosistemas fuente administrados por FONAG que abastecen al Distrito Metropolitano de Quito. Prevé muestrear precipitación y caudales en sitios de Antisana y Alto Pita, y comparar sus firmas isotópicas. Los productos esperados son una línea base isotópica, identificación de relaciones entre lluvia y escorrentía y evidencia para interpretar el origen y la dinámica del agua.
Determinación de la composición bacteriana del suelo y su relación con la sequía inducida, en el páramo del Volcán Antisana, Ecuador;Andrii Caisabanda Tyshkovskyi;2023;Ecología de páramo;Apoyo a investigacion;En curso;-0.495384;-78.205438;La investigación plantea determinar cómo la sequía inducida modifica la composición bacteriana del suelo en el páramo del volcán Antisana. El ensayo excluye la lluvia en parcelas durante cinco meses y contrasta suelo intervenido y control mediante humedad, variables fisicoquímicas y secuenciación 16S para diversidad alfa y beta. Como producto se espera establecer una línea de evidencia sobre la respuesta microbiana a la reducción de humedad y su utilidad para comprender la vulnerabilidad del ecosistema.
Dinámicas metabólicas en ríos altoandinos bajo condiciones hidrológicas contrastantes;Paola Fuentes (responsable FONAG/EPMAPS);2026;Hidrología;Apoyo a investigacion;En curso;-0.394692;-78.323841;La necesidad de investigación plantea describir las dinámicas metabólicas de ríos altoandinos bajo contrastes hidrológicos en el Área de Conservación Hídrica Antisana. Usará registros de alta frecuencia de oxígeno disuelto y dióxido de carbono en siete estaciones, junto con variables hidrometeorológicas, para calcular métricas metabólicas siguiendo referencias publicadas. Se espera una caracterización de la producción y respiración fluvial, su variabilidad estacional y una base para el monitoreo ecológico. El libro incluye una hoja auxiliar con errores de fórmula.
Diversidad funcional y patrones de actividad de mamíferos medianos y grandes en el Refugio de Vida Silvestre APH Ponce-Paluguillo, Pichincha-Ecuador;Rachell Nayomi Fonseca Vinueza;2024;Ecología de páramo;Apoyo a investigacion;En curso;-0.310089;-78.234808;El estudio busca documentar la diversidad funcional y los patrones de actividad de mamíferos medianos y grandes en el Refugio de Vida Silvestre APH Ponce-Paluguillo, Pichincha. Plantea una red de estaciones de cámaras trampa y análisis de registros de presencia y actividad por especies y hábitats. Se esperan inventarios, métricas de diversidad y patrones temporales que apoyen el monitoreo y las decisiones de conservación del refugio. El archivo incluye secciones de resultados, pero su resumen institucional permanece como plantilla.
El legado de Humboldt en su viaje por Ecuador desde redes subterráneas: mapeo de comunidades de hongos micorrízicos;Jessica Duchicela;2025;Ecología de páramo;Apoyo a investigacion;En curso;-0.871322;-78.548681;La nota conceptual propone reconstruir el legado del recorrido de Humboldt mediante el mapeo de comunidades de hongos micorrízicos en un gradiente altoandino entre Chimborazo, Antisana y Pichincha. Prevé muestreo estandarizado de suelos a distintas altitudes y análisis de ADN de hongos micorrízicos arbusculares y ectomicorrízicos. Los productos esperados son mapas de distribución, una línea base de biodiversidad subterránea y evidencia para conservación y restauración de ecosistemas altoandinos.
